show_id,type,title,date_added,release_year,rating,duration,duration_type
s101,TV Show,Tobot Galaxy Detectives,9/7/2021,2019,TV-Y7,2,Seasons
s102,Movie,Untold: Breaking Point,9/7/2021,2021,TV-MA,80,min
s103,TV Show,Countdown: Inspiration4 Mission to Space,9/6/2021,2021,TV-14,1,Season
s104,Movie,Shadow Parties,9/6/2021,2020,TV-MA,117,min
s105,TV Show,Tayo the Little Bus,9/6/2021,2016,TV-Y,2,Seasons
s106,Movie,Angamaly Diaries,9/5/2021,2017,TV-14,128,min
s107,TV Show,Bunk'd,9/5/2021,2021,TV-G,5,Seasons
s108,Movie,A Champion Heart,9/4/2021,2018,G,90,min
s109,TV Show,Dive Club,9/3/2021,2021,TV-G,1,Season
s110,TV Show,La casa de papel,9/3/2021,2021,TV-MA,5,Seasons
s111,TV Show,Money Heist: From Tokyo to Berlin,9/3/2021,2021,TV-MA,1,Season
s112,TV Show,Sharkdog,9/3/2021,2021,TV-Y,1,Season
s113,Movie,Worth,9/3/2021,2021,PG-13,119,min
s114,Movie,Afterlife of the Party,9/2/2021,2021,TV-PG,110,min
s115,Movie,Anjaam,9/2/2021,1994,TV-14,143,min
s116,Movie,Bright Star,9/2/2021,2009,PG,119,min
s117,Movie,Dhanak,9/2/2021,2015,TV-PG,114,min
s118,Movie,Final Account,9/2/2021,2021,PG-13,94,min
s119,Movie,Gurgaon,9/2/2021,2017,TV-14,106,min
s120,Movie,Here and There,9/2/2021,2020,TV-MA,99,min
s121,TV Show,Heroes of Goo Jit Zu,9/2/2021,2021,TV-Y7,1,Season
s122,TV Show,Hotel Del Luna,9/2/2021,2019,TV-14,1,Season
s123,Movie,In the Cut,9/2/2021,2003,R,118,min
s124,TV Show,Luv Kushh,9/2/2021,2012,TV-Y7,1,Season
s125,TV Show,Pororo - The Little Penguin,9/2/2021,2013,TV-Y7,3,Seasons
s126,TV Show,Q-Force,9/2/2021,2021,TV-MA,1,Season
s127,Movie,Shikara,9/2/2021,2020,TV-14,115,min
s128,Movie,A Cinderella Story,9/1/2021,2004,PG,95,min
s129,Movie,Agatha Christie's Crooked House,9/1/2021,2017,PG-13,115,min
s130,Movie,An Unfinished Life,9/1/2021,2005,PG-13,108,min
s131,Movie,Barbie Big City Big Dreams,9/1/2021,2021,TV-Y,63,min
s132,Movie,Blade Runner: The Final Cut,9/1/2021,1982,R,117,min
s133,TV Show,Brave Animated Series,9/1/2021,2021,TV-MA,1,Season
s134,Movie,Chappie,9/1/2021,2015,R,121,min
s135,Movie,Clear and Present Danger,9/1/2021,1994,PG-13,142,min
s136,Movie,Cliffhanger,9/1/2021,1993,R,113,min
s137,Movie,Cold Mountain,9/1/2021,2003,R,154,min
s138,Movie,Crocodile Dundee in Los Angeles,9/1/2021,2001,PG,95,min
s139,Movie,Dear John,9/1/2021,2010,PG-13,108,min
s140,Movie,Do the Right Thing,9/1/2021,1989,R,120,min
s141,Movie,"El patrón, radiografía de un crimen",9/1/2021,2014,TV-MA,100,min
s142,Movie,Extraction,9/1/2021,2015,R,82,min
s143,Movie,Freedom Writers,9/1/2021,2007,PG-13,124,min
s144,Movie,Green Lantern,9/1/2021,2011,PG-13,114,min
s145,Movie,House Party,9/1/2021,1990,R,104,min
s146,Movie,House Party 2,9/1/2021,1991,R,94,min
s147,Movie,House Party 3,9/1/2021,1994,R,94,min
s148,TV Show,How to Be a Cowboy,9/1/2021,2021,TV-PG,1,Season
s149,TV Show,HQ Barbers,9/1/2021,2020,TV-14,1,Season
s150,Movie,I Got the Hook Up,9/1/2021,1998,R,93,min
s151,Movie,In Too Deep,9/1/2021,1999,R,97,min
s152,Movie,Initial D,9/1/2021,2005,TV-14,109,min
s153,Movie,Janoskians: Untold and Untrue,9/1/2021,2016,TV-MA,88,min
s154,TV Show,Kid-E-Cats,9/1/2021,2016,TV-Y,2,Seasons
s155,TV Show,Kuroko's Basketball,9/1/2021,2015,TV-MA,3,Seasons
s156,Movie,Labyrinth,9/1/2021,1986,PG,101,min
s157,Movie,Letters to Juliet,9/1/2021,2010,PG,105,min
s158,Movie,Level 16,9/1/2021,2018,TV-14,102,min
s159,Movie,Love Don't Cost a Thing,9/1/2021,2003,PG-13,101,min
s160,Movie,Love in a Puff,9/1/2021,2010,TV-MA,103,min
s161,TV Show,Major Dad,9/1/2021,1992,TV-PG,4,Seasons
s162,Movie,Mars Attacks!,9/1/2021,1996,PG-13,106,min
s163,Movie,Marshall,9/1/2021,2017,PG-13,118,min
s164,Movie,My Boss's Daughter,9/1/2021,2003,R,86,min
s165,Movie,Mystery Men,9/1/2021,1999,PG-13,121,min
s166,TV Show,Oldsters,9/1/2021,2019,TV-MA,1,Season
s167,Movie,Once Upon a Time in America,9/1/2021,1984,R,229,min
s168,Movie,Open Season 2,9/1/2021,2008,PG,76,min
s169,Movie,Osmosis Jones,9/1/2021,2001,PG,95,min
s170,Movie,Poseidon,9/1/2021,2006,PG-13,98,min
s171,Movie,Rhyme & Reason,9/1/2021,1997,R,89,min
s172,Movie,Same Kind of Different as Me,9/1/2021,2017,PG-13,120,min
s173,Movie,School of Rock,9/1/2021,2003,PG-13,110,min
s174,Movie,Snervous Tyler Oakley,9/1/2021,2015,PG-13,83,min
s175,Movie,Tears of the Sun,9/1/2021,2003,R,121,min
s176,Movie,The Blue Lagoon,9/1/2021,1980,R,105,min
s177,Movie,The Golden Child,9/1/2021,1986,PG-13,94,min
s178,Movie,The Guns of Navarone,9/1/2021,1961,TV-14,156,min
s179,Movie,The Interview,9/1/2021,2014,R,112,min
s180,Movie,The Nutty Professor,9/1/2021,1996,PG-13,95,min
s181,Movie,The Nutty Professor II: The Klumps,9/1/2021,2000,PG-13,107,min
s182,TV Show,Turning Point: 9/11 and the War on Terror,9/1/2021,2021,TV-14,1,Season
s183,Movie,Welcome Home Roscoe Jenkins,9/1/2021,2008,PG-13,114,min
s184,Movie,In the Line of Fire,8/31/2021,1993,R,129,min
s185,TV Show,Sparking Joy,8/31/2021,2021,TV-PG,1,Season
s186,Movie,Untold: Crime & Penalties,8/31/2021,2021,TV-MA,86,min
s187,TV Show,Hometown Cha-Cha-Cha,8/29/2021,2021,TV-14,1,Season
s188,TV Show,The Ingenuity of the Househusband,8/29/2021,2021,TV-G,1,Season
s189,Movie,2 Alone in Paris,8/28/2021,2008,TV-MA,97,min
s190,TV Show,Bread Barbershop,8/28/2021,2020,TV-Y,2,Seasons
s191,Movie,Thimmarusu,8/28/2021,2021,TV-14,125,min
s192,Movie,Wind River,8/28/2021,2017,R,107,min
s193,Movie,C Kkompany,8/27/2021,2008,TV-14,127,min
s194,TV Show,D.P.,8/27/2021,2021,TV-MA,1,Season
s195,TV Show,Deadly Sins,8/27/2021,2002,TV-MA,1,Season
s196,Movie,EMI: Liya Hai To Chukana Padega,8/27/2021,2008,TV-14,128,min
s197,Movie,He's All That,8/27/2021,2021,TV-14,92,min
s198,TV Show,I Heart Arlo,8/27/2021,2021,TV-Y7,1,Season
s199,TV Show,King of Boys: The Return of the King,8/27/2021,2021,TV-MA,1,Season
s200,Movie,Koi Aap Sa,8/27/2021,2006,TV-14,135,min
s201,Movie,Krishna Cottage,8/27/2021,2004,TV-14,124,min
s202,Movie,Kucch To Hai,8/27/2021,2003,TV-14,136,min
s203,Movie,Kyaa Kool Hai Hum,8/27/2021,2005,TV-MA,165,min
s204,Movie,Kyaa Kool Hain Hum 3,8/27/2021,2016,TV-MA,124,min
s205,Movie,Kyaa Super Kool Hain Hum,8/27/2021,2012,TV-MA,136,min
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,8/27/2021,2001,TV-14,150,min
s207,Movie,"LSD: Love, Sex Aur Dhokha",8/27/2021,2010,TV-MA,112,min
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,8/27/2021,2008,TV-14,119,min
s209,Movie,Once Upon a Time in Mumbaai,8/27/2021,2010,TV-14,133,min
s210,Movie,Once Upon a Time in Mumbai Dobaara!,8/27/2021,2013,TV-14,142,min
s211,Movie,Ragini MMS,8/27/2021,2011,TV-MA,93,min
s212,Movie,Ragini MMS 2,8/27/2021,2014,TV-MA,113,min
s213,TV Show,Rebellion,8/27/2021,2016,TV-MA,2,Seasons
s214,TV Show,RIDE ON TIME,8/27/2021,2021,TV-PG,3,Seasons
s215,Movie,SAS: Rise of the Black Swan,8/27/2021,2021,R,124,min
s216,Movie,Shootout at Lokhandwala,8/27/2021,2007,TV-MA,116,min
s217,Movie,Shor In the City,8/27/2021,2011,TV-14,106,min
s218,Movie,The Dirty Picture,8/27/2021,2011,TV-14,145,min
s219,TV Show,Titletown High,8/27/2021,2021,TV-14,1,Season
s220,TV Show,EDENS ZERO,8/26/2021,2021,TV-14,1,Season
s221,TV Show,Family Reunion,8/26/2021,2021,TV-PG,4,Seasons
s222,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",8/25/2021,2021,TV-14,93,min
s223,TV Show,Clickbait,8/25/2021,2021,TV-MA,1,Season
s224,TV Show,John of God: The Crimes of a Spiritual Healer,8/25/2021,2021,TV-MA,1,Season
s225,TV Show,Motel Makeover,8/25/2021,2021,TV-14,1,Season
s226,TV Show,Open Your Eyes,8/25/2021,2021,TV-MA,1,Season
s227,TV Show,Post Mortem: No One Dies in Skarnes,8/25/2021,2021,TV-MA,1,Season
s228,Movie,Really Love,8/25/2021,2020,TV-MA,95,min
s229,Movie,The November Man,8/25/2021,2014,R,108,min
s230,Movie,The Old Ways,8/25/2021,2020,TV-MA,90,min
s231,Movie,The River Runner,8/25/2021,2021,TV-MA,86,min
s232,Movie,The Water Man,8/25/2021,2021,PG,92,min
s233,TV Show,Wheel of Fortune,8/25/2021,2019,TV-G,3,Seasons
s234,Movie,Count Me In,8/24/2021,2021,TV-MA,82,min
s235,TV Show,Oggy Oggy,8/24/2021,2021,TV-Y,1,Season
s236,Movie,Untold: Caitlyn Jenner,8/24/2021,2021,TV-PG,70,min
s237,Movie,Boomika,8/23/2021,2021,TV-14,122,min
s238,Movie,Boomika (Hindi),8/23/2021,2021,TV-14,122,min
s239,Movie,Boomika (Malayalam),8/23/2021,2021,TV-14,122,min
s240,Movie,Boomika (Telugu),8/23/2021,2021,TV-14,122,min
s241,Movie,The Witcher: Nightmare of the Wolf,8/23/2021,2021,TV-MA,84,min
s242,TV Show,Manifest,8/21/2021,2021,TV-14,3,Seasons
s243,TV Show,Comedy Premium League,8/20/2021,2021,TV-MA,1,Season
s244,TV Show,Everything Will Be Fine,8/20/2021,2021,TV-MA,1,Season
s245,Movie,Gunshot,8/20/2021,2018,TV-14,96,min
s246,TV Show,Korean Cold Noodle Rhapsody,8/20/2021,2021,TV-PG,1,Season
s247,Movie,Man in Love,8/20/2021,2021,TV-MA,115,min
s248,Movie,Sweet Girl,8/20/2021,2021,R,110,min
s249,TV Show,The Chair,8/20/2021,2021,TV-MA,1,Season
s250,Movie,The Loud House Movie,8/20/2021,2021,TV-Y7,88,min
s251,Movie,A Faraway Land,8/19/2021,2020,TV-PG,102,min
s252,Movie,Like Crazy,8/19/2021,2011,PG-13,91,min
s253,Movie,Black Island,8/18/2021,2021,TV-MA,105,min
s254,Movie,Bombay,8/18/2021,1995,TV-14,135,min
s255,TV Show,Go! Go! Cory Carson,8/18/2021,2021,TV-Y,5,Seasons
s256,Movie,Memories of a Murderer: The Nilsen Tapes,8/18/2021,2021,TV-MA,86,min
s257,Movie,Nneka The Pretty Serpent,8/18/2021,2020,TV-14,140,min
s258,Movie,O Kadhal Kanmani,8/18/2021,2015,TV-14,133,min
s259,Movie,Out of my league,8/18/2021,2020,TV-MA,92,min
s260,Movie,Pahuna,8/18/2021,2018,TV-PG,82,min
s261,TV Show,The Defeated,8/18/2021,2020,TV-MA,1,Season
s262,Movie,The Secret Diary of an Exchange Student,8/18/2021,2021,TV-14,97,min
s263,Movie,Untold: Deal With the Devil,8/18/2021,2021,TV-MA,78,min
s264,TV Show,Mother Goose Club,8/16/2021,2016,TV-Y,2,Seasons
s265,Movie,Walk of Shame,8/16/2021,2014,R,94,min
s266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,8/15/2021,2018,TV-14,1,Season
s267,TV Show,The Creative Indians,8/15/2021,2020,TV-MA,1,Season
s268,Movie,The Piano,8/15/2021,1993,R,121,min
s269,Movie,Unroyal,8/15/2021,2020,TV-MA,97,min
s270,TV Show,Winx Club,8/15/2021,2015,TV-Y7,2,Seasons
s271,Movie,Beckett,8/13/2021,2021,TV-MA,110,min
s272,TV Show,Brand New Cherry Flavor,8/13/2021,2021,TV-MA,1,Season
s273,TV Show,Fast & Furious Spy Racers,8/13/2021,2021,TV-Y7,5,Seasons
s274,TV Show,Gone for Good,8/13/2021,2021,TV-MA,1,Season
s275,TV Show,Grace and Frankie,8/13/2021,2021,TV-MA,7,Seasons
s276,TV Show,The Kingdom,8/13/2021,2021,TV-MA,1,Season
s277,TV Show,Valeria,8/13/2021,2021,TV-MA,2,Seasons
s278,TV Show,AlRawabi School for Girls,8/12/2021,2021,TV-14,1,Season
s279,Movie,Lokillo: Nothing's the Same,8/12/2021,2021,TV-MA,64,min
s280,Movie,Monster Hunter: Legends of the Guild,8/12/2021,2021,TV-PG,59,min
s281,TV Show,Bake Squad,8/11/2021,2021,TV-PG,1,Season
s282,Movie,Brother Jekwu,8/11/2021,2016,TV-14,101,min
s283,Movie,La diosa del asfalto,8/11/2021,2020,TV-MA,127,min
s284,Movie,Misha and the Wolves,8/11/2021,2021,PG-13,90,min
s285,Movie,The Kissing Booth 3,8/11/2021,2021,TV-14,114,min
s286,Movie,The Railway Man,8/11/2021,2013,R,108,min
s287,TV Show,Gabby's Dollhouse,8/10/2021,2021,TV-Y,2,Seasons
s288,TV Show,I Need Romance,8/10/2021,2021,TV-14,1,Season
s289,TV Show,Las muñecas de la mafia,8/10/2021,2018,TV-MA,1,Season
s290,TV Show,The Crowned Clown,8/10/2021,2019,TV-14,1,Season
s291,Movie,Untold: Malice at the Palace,8/10/2021,2021,TV-MA,70,min
s292,TV Show,SHAMAN KING,8/9/2021,2021,TV-14,1,Season
s293,Movie,Quartet,8/8/2021,2012,PG-13,98,min
s294,Movie,Slay,8/8/2021,2021,TV-MA,86,min
s295,Movie,Takizawa Kabuki ZERO 2020 The Movie,8/7/2021,2020,TV-PG,139,min
s296,Movie,The Paper Tigers,8/7/2021,2021,PG-13,111,min
s297,TV Show,Hit & Run,8/6/2021,2021,TV-MA,1,Season
s298,TV Show,Navarasa,8/6/2021,2021,TV-MA,1,Season
s299,Movie,Quam's Money,8/6/2021,2020,TV-MA,115,min
s300,Movie,The Swarm,8/6/2021,2021,TV-14,102,min
s301,Movie,Vivo,8/6/2021,2021,PG,100,min
s302,Movie,Chennai Express,8/5/2021,2013,TV-14,135,min
s303,Movie,City of God: 10 Years Later,8/5/2021,2013,TV-MA,69,min
s304,Movie,Esperando la carroza,8/5/2021,1985,TV-MA,95,min
s305,Movie,Lady Boss: The Jackie Collins Story,8/5/2021,2021,TV-14,97,min
s306,Movie,Tango Feroz,8/5/2021,1993,TV-MA,124,min
s307,Movie,'76,8/4/2021,2016,TV-PG,118,min
s308,Movie,Aftermath,8/4/2021,2021,TV-MA,115,min
s309,Movie,American Masters: Inventing David Geffen,8/4/2021,2012,TV-MA,115,min
s310,TV Show,Car Masters: Rust to Riches,8/4/2021,2021,TV-PG,3,Seasons
s311,TV Show,Cocaine Cowboys: The Kings of Miami,8/4/2021,2021,TV-MA,1,Season
s312,TV Show,Control Z,8/4/2021,2021,TV-MA,2,Seasons
s313,TV Show,Cooking With Paris,8/4/2021,2021,TV-MA,1,Season
s314,TV Show,Autumn's Concerto,8/3/2021,2009,TV-14,1,Season
s315,Movie,Heavy,8/3/2021,1995,R,104,min
s316,Movie,Ije: The Journey,8/3/2021,2010,TV-MA,106,min
s317,TV Show,Office Girls,8/3/2021,2011,TV-14,1,Season
s318,Movie,Pray Away,8/3/2021,2021,PG-13,102,min
s319,Movie,Shiny_Flakes: The Teenage Drug Lord,8/3/2021,2021,TV-MA,97,min
s320,TV Show,The Prince Who Turns into a Frog,8/3/2021,2005,TV-14,1,Season
s321,TV Show,Top Secret UFO Projects: Declassified,8/3/2021,2021,TV-PG,1,Season
s322,TV Show,Two Fathers,8/3/2021,2013,TV-14,1,Season
s323,TV Show,You're My Destiny,8/3/2021,2008,TV-MA,1,Season
s324,TV Show,30 Rock,8/1/2021,2012,TV-14,7,Seasons
s325,TV Show,44 Cats,8/1/2021,2020,TV-Y7,3,Seasons
s326,Movie,Beethoven,8/1/2021,1992,PG,87,min
s327,Movie,Beethoven's 2nd,8/1/2021,1993,PG,88,min
s328,Movie,Beowulf,8/1/2021,2007,PG-13,114,min
s329,Movie,Boyka: Undisputed,8/1/2021,2016,R,90,min
s330,Movie,Catch Me If You Can,8/1/2021,2002,PG-13,142,min
s331,Movie,Cloudy with a Chance of Meatballs,8/1/2021,2009,PG,90,min
s332,TV Show,Darwin’s Game,8/1/2021,2020,TV-MA,1,Season
s333,Movie,Deep Blue Sea,8/1/2021,1999,R,105,min
s334,Movie,Ferris Bueller's Day Off,8/1/2021,1986,PG-13,103,min
s335,Movie,Five Feet Apart,8/1/2021,2019,PG-13,116,min
s336,Movie,Freedomland,8/1/2021,2006,R,113,min
s337,TV Show,Friday Night Lights,8/1/2021,2010,TV-14,5,Seasons
s338,Movie,Good Luck Chuck,8/1/2021,2007,R,99,min
s339,TV Show,Hunter X Hunter (2011),8/1/2021,2014,TV-14,6,Seasons
s340,Movie,I missed you: Director's Cut,8/1/2021,2021,TV-14,96,min
s341,Movie,Inception,8/1/2021,2010,PG-13,148,min
s342,Movie,Magnolia,8/1/2021,1999,R,189,min
s343,Movie,Major Payne,8/1/2021,1995,PG-13,97,min
s344,Movie,My Girl,8/1/2021,1991,PG-13,102,min
s345,Movie,My Girl 2,8/1/2021,1994,PG,99,min
s346,Movie,Open Season: Scared Silly,8/1/2021,2015,PG,85,min
s347,Movie,Pineapple Express,8/1/2021,2008,R,112,min
s348,Movie,Planet 51,8/1/2021,2009,PG,91,min
s349,Movie,Poms,8/1/2021,2019,PG-13,91,min
s350,Movie,Seabiscuit,8/1/2021,2003,PG-13,141,min
s351,Movie,Space Cowboys,8/1/2021,2000,PG-13,130,min
s352,Movie,Team America: World Police,8/1/2021,2004,R,98,min
s353,Movie,The Edge of Seventeen,8/1/2021,2016,R,105,min
s354,Movie,The Haunting in Connecticut 2: Ghosts of Georgia,8/1/2021,2013,R,101,min
s355,Movie,The Last Boy Scout,8/1/2021,1991,R,105,min
s356,Movie,The Lincoln Lawyer,8/1/2021,2011,R,118,min
s357,Movie,The Losers,8/1/2021,2010,PG-13,97,min
s358,Movie,The Machinist,8/1/2021,2004,R,102,min
s359,Movie,The Net,8/1/2021,1995,PG-13,114,min
s360,Movie,The Original Kings of Comedy,8/1/2021,2000,R,111,min
s361,Movie,Valentine's Day,8/1/2021,2010,PG-13,125,min
s362,TV Show,Charmed,7/31/2021,2021,TV-14,3,Seasons
s363,Movie,The Lost Café,7/31/2021,2018,TV-14,76,min
s364,Movie,The Vault,7/31/2021,2021,R,118,min
s365,TV Show,Centaurworld,7/30/2021,2021,TV-Y7,1,Season
s366,Movie,Eyes of a Thief,7/30/2021,2014,TV-14,103,min
s367,TV Show,Glow Up,7/30/2021,2021,TV-14,3,Seasons
s368,Movie,I'm Glad I Did,7/30/2021,2020,TV-14,114,min
s369,TV Show,Khawatir,7/30/2021,2009,TV-14,1,Season
s370,TV Show,Myth & Mogul: John DeLorean,7/30/2021,2021,TV-14,1,Season
s371,TV Show,Outer Banks,7/30/2021,2021,TV-MA,2,Seasons
s372,Movie,Pomegranates and Myrrh,7/30/2021,2009,TV-14,95,min
